Time (UTC)	prs(m)	rad(m)
2019-11-28 04:13:29	3.383	4.373
2019-11-28 04:14:29	3.319	4.308
2019-11-28 04:15:29	3.314	4.302
2019-11-28 04:16:29	3.355	4.343
2019-11-28 04:17:29	3.341	4.332
2019-11-28 04:18:29	3.188	4.177
2019-11-28 04:19:29	3.318	4.305
2019-11-28 04:20:29	3.36	4.35
2019-11-28 04:21:29	3.251	4.24
2019-11-28 04:22:29	3.256	4.245
2019-11-28 04:23:29	3.375	4.364
2019-11-28 04:24:29	3.232	4.22
2019-11-28 04:25:29	3.269	4.258
2019-11-28 04:26:29	3.225	4.213
2019-11-28 04:27:29	3.238	4.227
2019-11-28 04:28:29	3.3	4.289
2019-11-28 04:29:29	3.338	4.327
2019-11-28 04:30:29	3.24	4.229
2019-11-28 04:31:29	3.215	4.205
2019-11-28 04:32:29	3.308	4.296
2019-11-28 04:33:29	3.223	4.213
2019-11-28 04:34:29	3.26	4.248
2019-11-28 04:35:29	3.193	4.182
2019-11-28 04:36:29	3.258	4.246
2019-11-28 04:37:29	3.218	4.208
2019-11-28 04:38:29	3.219	4.206
2019-11-28 04:39:29	3.269	4.259
2019-11-28 04:40:29	3.202	4.191
2019-11-28 04:41:29	3.261	4.25
2019-11-28 04:42:29	3.289	4.279
2019-11-28 04:43:29	3.163	4.151
2019-11-28 04:44:29	3.281	4.27
2019-11-28 04:45:29	3.063	4.051
2019-11-28 04:46:29	3.19	4.178
2019-11-28 04:47:29	3.249	4.237
2019-11-28 04:48:29	3.135	4.126
2019-11-28 04:49:29	3.099	4.087
2019-11-28 04:50:29	3.211	4.201
2019-11-28 04:51:29	3.116	4.104
2019-11-28 04:52:29	3.035	4.023
2019-11-28 04:53:29	3.255	4.243
2019-11-28 04:54:29	3.091	4.08
2019-11-28 04:55:29	3.115	4.105
2019-11-28 04:56:29	3.077	4.066
2019-11-28 04:57:29	3.16	4.148
2019-11-28 04:58:29	3.085	4.073
2019-11-28 04:59:29	3.121	4.109
2019-11-28 05:00:29	3.145	4.135
2019-11-28 05:01:29	2.99	3.978
2019-11-28 05:02:29	3.221	4.21
2019-11-28 05:03:29	3.04	4.029
2019-11-28 05:04:29	3.049	4.038
2019-11-28 05:05:29	3.106	4.095
2019-11-28 05:06:29	3.03	4.019
2019-11-28 05:07:29	3.106	4.095
2019-11-28 05:08:29	3.244	4.232
2019-11-28 05:09:29	3.054	4.043
2019-11-28 05:10:29	3.014	4.002
2019-11-28 05:11:29	3.081	4.07
2019-11-28 05:12:29	3.096	4.085
2019-11-28 05:13:29	3.023	4.012
2019-11-28 05:14:29	2.989	3.977
2019-11-28 05:15:29	3.038	4.027
2019-11-28 05:16:29	3.086	4.074
2019-11-28 05:17:29	2.948	3.938
2019-11-28 05:18:29	2.927	3.916
2019-11-28 05:19:29	3.079	4.068
2019-11-28 05:20:29	3.043	4.032
2019-11-28 05:21:29	2.929	3.919
2019-11-28 05:22:29	2.933	3.921
2019-11-28 05:23:29	2.953	3.943
2019-11-28 05:24:29	2.963	3.951
2019-11-28 05:25:29	3.029	4.019
2019-11-28 05:26:29	2.957	3.946
2019-11-28 05:27:29	2.953	3.941
2019-11-28 05:28:29	3	3.99
2019-11-28 05:29:29	2.871	3.859
2019-11-28 05:30:29	2.886	3.874
2019-11-28 05:31:30	2.92	3.909
2019-11-28 05:32:29	2.898	3.886
2019-11-28 05:33:29	2.998	3.987
2019-11-28 05:34:30	2.876	3.866
2019-11-28 05:35:29	2.887	3.876
2019-11-28 05:36:30	2.9	3.888
2019-11-28 05:37:29	2.785	3.774
2019-11-28 05:38:30	2.905	3.893
2019-11-28 05:39:30	2.964	3.955
2019-11-28 05:40:30	2.784	3.772
2019-11-28 05:41:29	2.911	3.901
2019-11-28 05:42:30	2.884	3.872
2019-11-28 05:43:30	2.816	3.804
2019-11-28 05:44:30	2.792	3.78
2019-11-28 05:45:29	2.908	3.897
2019-11-28 05:46:30	2.779	3.767
2019-11-28 05:47:30	2.843	3.832
2019-11-28 05:48:30	2.764	3.753
2019-11-28 05:49:30	2.774	3.764
2019-11-28 05:50:30	2.853	3.841
2019-11-28 05:51:30	2.745	3.734
2019-11-28 05:52:30	2.877	3.866
2019-11-28 05:53:30	2.7	3.689
2019-11-28 05:54:30	2.838	3.828
2019-11-28 05:55:30	2.755	3.743
2019-11-28 05:56:30	2.763	3.752
2019-11-28 05:57:30	2.73	3.719
2019-11-28 05:58:29	2.705	3.694
2019-11-28 05:59:29	2.736	3.725
2019-11-28 06:00:29	2.713	3.701
2019-11-28 06:01:29	2.721	3.711
2019-11-28 06:02:29	2.727	3.716
2019-11-28 06:03:29	2.663	3.651
2019-11-28 06:04:29	2.794	3.782
2019-11-28 06:05:29	2.809	3.798
2019-11-28 06:06:29	2.606	3.595
2019-11-28 06:07:29	2.721	3.71
2019-11-28 06:08:29	2.716	3.705
2019-11-28 06:09:29	2.645	3.634
2019-11-28 06:10:29	2.693	3.681
2019-11-28 06:11:29	2.617	3.606
2019-11-28 06:12:29	2.622	3.611
2019-11-28 06:13:29	2.724	3.713
2019-11-28 06:14:29	2.627	3.615
2019-11-28 06:15:29	2.606	3.594
2019-11-28 06:16:29	2.674	3.663
2019-11-28 06:17:29	2.647	3.635
2019-11-28 06:18:29	2.653	3.641
2019-11-28 06:19:29	2.573	3.561
2019-11-28 06:20:29	2.633	3.622
2019-11-28 06:21:29	2.601	3.589
2019-11-28 06:22:29	2.628	3.617
2019-11-28 06:23:29	2.569	3.556
2019-11-28 06:24:29	2.716	3.705
2019-11-28 06:25:29	2.558	3.547
2019-11-28 06:26:29	2.515	3.504
2019-11-28 06:27:29	2.515	3.503
2019-11-28 06:28:29	2.591	3.58
2019-11-28 06:29:29	2.481	3.47
2019-11-28 06:30:29	2.63	3.618
2019-11-28 06:31:29	2.539	3.528
2019-11-28 06:32:29	2.507	3.496
2019-11-28 06:33:29	2.529	3.518
2019-11-28 06:34:29	2.445	3.434
2019-11-28 06:35:29	2.47	3.458
2019-11-28 06:36:29	2.637	3.625
2019-11-28 06:37:29	2.528	3.517
2019-11-28 06:38:29	2.426	3.414
2019-11-28 06:39:29	2.511	3.499
2019-11-28 06:40:29	2.526	3.515
2019-11-28 06:41:29	2.504	3.493
2019-11-28 06:42:29	2.393	3.382
2019-11-28 06:43:29	2.44	3.429
2019-11-28 06:44:29	2.46	3.448
2019-11-28 06:45:29	2.456	3.445
2019-11-28 06:46:29	2.454	3.443
2019-11-28 06:47:29	2.436	3.425
2019-11-28 06:48:29	2.404	3.393
2019-11-28 06:49:29	2.479	3.468
2019-11-28 06:50:29	2.352	3.34
2019-11-28 06:51:29	2.43	3.418
2019-11-28 06:52:29	2.493	3.482
2019-11-28 06:53:29	2.327	3.315
2019-11-28 06:54:29	2.436	3.424
2019-11-28 06:55:29	2.391	3.38
2019-11-28 06:56:29	2.446	3.434
2019-11-28 06:57:29	2.422	3.411
2019-11-28 06:58:29	2.375	3.363
2019-11-28 06:59:29	2.332	3.32
2019-11-28 07:00:29	2.313	3.301
2019-11-28 07:01:29	2.358	3.347
2019-11-28 07:02:29	2.274	3.262
2019-11-28 07:03:29	2.39	3.379
2019-11-28 07:04:29	2.332	3.321
2019-11-28 07:05:29	2.355	3.343
2019-11-28 07:06:29	2.305	3.294
2019-11-28 07:07:29	2.307	3.295
2019-11-28 07:08:29	2.339	3.328
2019-11-28 07:09:29	2.289	3.278
2019-11-28 07:10:29	2.317	3.305
2019-11-28 07:11:29	2.3	3.288
2019-11-28 07:12:29	2.328	3.316
2019-11-28 07:13:29	2.272	3.261
2019-11-28 07:14:29	2.276	3.264
2019-11-28 07:15:29	2.241	3.23
2019-11-28 07:16:29	2.289	3.278
2019-11-28 07:17:29	2.229	3.217
2019-11-28 07:18:29	2.255	3.244
2019-11-28 07:19:29	2.261	3.249
2019-11-28 07:20:29	2.318	3.307
2019-11-28 07:21:29	2.273	3.261
2019-11-28 07:22:29	2.273	3.261
2019-11-28 07:23:29	2.242	3.23
2019-11-28 07:24:29	2.244	3.233
2019-11-28 07:25:29	2.252	3.241
2019-11-28 07:26:29	2.241	3.229
2019-11-28 07:27:29	2.218	3.206
2019-11-28 07:28:29	2.218	3.207
2019-11-28 07:29:29	2.216	3.205
2019-11-28 07:30:29	2.2	3.189
2019-11-28 07:31:29	2.23	3.218
2019-11-28 07:32:29	2.212	3.2
2019-11-28 07:33:29	2.118	3.107
2019-11-28 07:34:29	2.162	3.15
2019-11-28 07:35:29	2.211	3.199
2019-11-28 07:36:29	2.195	3.183
2019-11-28 07:37:29	2.166	3.154
2019-11-28 07:38:29	2.145	3.133
2019-11-28 07:39:29	2.156	3.144
2019-11-28 07:40:29	2.145	3.133
2019-11-28 07:41:29	2.164	3.152
2019-11-28 07:42:29	2.156	3.144
2019-11-28 07:43:29	2.141	3.129
2019-11-28 07:44:29	2.149	3.137
2019-11-28 07:45:29	2.137	3.125
2019-11-28 07:46:29	2.116	3.104
2019-11-28 07:47:29	2.156	3.144
2019-11-28 07:48:29	2.123	3.112
2019-11-28 07:49:29	2.127	3.115
2019-11-28 07:50:29	2.103	3.091
2019-11-28 07:51:29	2.079	3.067
2019-11-28 07:52:29	2.088	3.076
2019-11-28 07:53:29	2.103	3.092
2019-11-28 07:54:29	2.106	3.095
2019-11-28 07:55:29	2.078	3.066
2019-11-28 07:56:29	2.086	3.074
2019-11-28 07:57:29	2.106	3.094
2019-11-28 07:58:29	2.089	3.077
2019-11-28 07:59:29	2.097	3.085
2019-11-28 08:00:29	2.089	3.077
2019-11-28 08:01:29	2.112	3.101
2019-11-28 08:02:29	2.08	3.068
2019-11-28 08:03:29	2.121	3.109
2019-11-28 08:04:29	2.11	3.099
2019-11-28 08:05:29	2.075	3.063
2019-11-28 08:06:29	2.07	3.058
2019-11-28 08:07:29	2.075	3.063
2019-11-28 08:08:29	2.077	3.066
2019-11-28 08:09:29	2.065	3.053
2019-11-28 08:10:29	2.052	3.04
2019-11-28 08:11:29	2.063	3.051
2019-11-28 08:12:29	2.07	3.058
2019-11-28 08:13:29	2.053	3.042
2019-11-28 08:14:29	2.051	3.039
2019-11-28 08:15:29	2.048	3.036
2019-11-28 08:16:29	2.064	3.052
2019-11-28 08:17:29	2.079	3.067
2019-11-28 08:18:29	2.062	3.05
2019-11-28 08:19:29	2.093	3.082
2019-11-28 08:20:29	2.097	3.085
2019-11-28 08:21:29	2.064	3.052
2019-11-28 08:22:29	2.053	3.041
2019-11-28 08:23:29	2.051	3.039
2019-11-28 08:24:29	2.045	3.033
2019-11-28 08:25:29	2.045	3.033
2019-11-28 08:26:29	2.053	3.041
2019-11-28 08:27:29	2.043	3.031
2019-11-28 08:28:29	2.047	3.035
2019-11-28 08:29:29	2.067	3.056
2019-11-28 08:30:29	2.049	3.037
2019-11-28 08:31:29	2.041	3.029
2019-11-28 08:32:29	2.047	3.035
2019-11-28 08:33:29	2.039	3.027
2019-11-28 08:34:29	2.037	3.025
